y_measured,v_filtered,x1m,x2m,error,u,theta1,theta2,uc
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.188666820526123047e+00
0.000000000000000000e+00,0.000000000000000000e+00,1.833379417657852173e-01,5.529040336608886719e+00,1.833379417657852173e-01,0.000000000000000000e+00,-3.010159591212868690e-03,0.000000000000000000e+00,4.328288555145263672e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.867172641009316649e-39,0.000000000000000000e+00,1.584563250285286752e+29,-1.115574477239533735e-08,2.391764153409930541e+29,3.292594700288000000e+12,2.789366429068864949e-37
0.000000000000000000e+00,0.000000000000000000e+00,2.033416032791137695e+00,1.170400238037109375e+01,2.033416032791137695e+00,-3.812150061130523682e-01,7.867284744886462635e-39,0.000000000000000000e+00,-1.407374883553280000e+14
5.385428667068481445e-02,4.004174172878265381e-01,3.386933326721191406e+00,9.481739044189453125e+00,3.333079099655151367e+00,-1.874371409416198730e+00,-7.894363403320312500e-01,1.460411120206117630e-03,4.101402759552001953e+00
2.004576176404953003e-01,1.304368495941162109e+00,3.918834924697875977e+00,7.506359100341796875e+00,3.718377351760864258e+00,-3.026341676712036133e+00,-1.189652919769287109e+00,1.092029921710491180e-02,4.031591892242431641e+00
5.175995230674743652e-01,3.056241989135742188e+00,4.320063591003417969e+00,5.344740867614746094e+00,3.802464008331298828e+00,-4.213806629180908203e+00,-1.620887041091918945e+00,4.325113445520401001e-02,4.031591892242431641e+00
