y_measured,v_filtered,x1m,x2m,error,u,theta1,theta2,uc
1.795142889022827148e+00,0.000000000000000000e+00,1.535673856735229492e+00,7.314682006835937500e-04,-4.872566406250000000e+04,2.292103898096103283e-41,-9.702989134218445207e-29,-2.003891944885253906e+00,2.339589272371200000e+13
1.795142889022827148e+00,0.000000000000000000e+00,1.535673856735229492e+00,7.314682006835937500e-04,-4.872566406250000000e+04,2.292103898096103283e-41,-9.702989134218445207e-29,-2.003891944885253906e+00,2.339589272371200000e+13
1.795142889022827148e+00,0.000000000000000000e+00,1.535673856735229492e+00,7.314682006835937500e-04,-4.872566406250000000e+04,2.292103898096103283e-41,-9.702989134218445207e-29,-2.003891944885253906e+00,2.339589272371200000e+13
1.795142889022827148e+00,0.000000000000000000e+00,1.535673856735229492e+00,7.314682006835937500e-04,-4.872566406250000000e+04,2.292103898096103283e-41,-9.702989134218445207e-29,-2.003891944885253906e+00,2.339589272371200000e+13
1.795142889022827148e+00,0.000000000000000000e+00,1.535673856735229492e+00,7.314682006835937500e-04,-4.872566406250000000e+04,2.292103898096103283e-41,-9.702989134218445207e-29,-2.003891944885253906e+00,2.339589272371200000e+13
1.795142889022827148e+00,0.000000000000000000e+00,1.535673856735229492e+00,7.314682006835937500e-04,-4.872566406250000000e+04,2.292103898096103283e-41,-9.702989134218445207e-29,-2.003891944885253906e+00,2.339589272371200000e+13
1.612636685371398926e+00,-1.356970191001892090e+00,1.468449950218200684e+00,-2.026583194732666016e+00,-1.441867351531982422e-01,2.822956323623657227e+00,-1.794546127319335938e+00,-5.000599473714828491e-02,0.000000000000000000e+00
1.163850903511047363e+00,-4.063198566436767578e+00,1.297108054161071777e+00,-3.341155052185058594e+00,1.332571506500244141e-01,-1.434500455856323242e+00,-1.792540192604064941e+00,-5.110280960798263550e-02,1.849994421005249023e+00
8.287576436996459961e-01,-4.666515827178955078e+00,1.144822478294372559e+00,-1.582937240600585938e+00,3.160648345947265625e-01,-2.100364923477172852e+00,-1.788102030754089355e+00,-5.792700499296188354e-02,1.867447257041931152e+00
7.868709564208984375e-01,-2.809422016143798828e+00,1.092822432518005371e+00,-1.418445110321044922e-01,3.059514760971069336e-01,-2.094922065734863281e+00,-1.785064458847045898e+00,-6.932103633880615234e-02,1.867447257041931152e+00
9.663852453231811523e-01,-1.691589355468750000e-01,1.119204163551330566e+00,9.243199825286865234e-01,1.528189182281494141e-01,-1.589025616645812988e+00,-1.784443855285644531e+00,-7.673976570367813110e-02,1.849994421005249023e+00
1.271559476852416992e+00,2.178480625152587891e+00,1.199970602989196777e+00,1.604457616806030273e+00,-7.158887386322021484e-02,-8.650085926055908203e-01,-1.784295439720153809e+00,-7.312019169330596924e-02,1.849994421005249023e+00
1.609644770622253418e+00,3.679872512817382812e+00,1.313117623329162598e+00,1.968637108802795410e+00,-2.965271472930908203e-01,-1.597818136215209961e-01,-1.782154321670532227e+00,-6.076832115650177002e-02,1.849994421005249023e+00
1.920802831649780273e+00,4.283358573913574219e+00,1.440541028976440430e+00,2.071367979049682617e+00,-4.802618026733398438e-01,4.175874590873718262e-01,-1.777098894119262695e+00,-4.954852163791656494e-02,1.832541704177856445e+00
2.160155296325683594e+00,4.072515487670898438e+00,1.567044615745544434e+00,1.951241731643676758e+00,-5.931106805801391602e-01,7.529736757278442383e-01,-1.770193457603454590e+00,-4.992901906371116638e-02,1.849994421005249023e+00
2.294790983200073242e+00,3.181061029434204102e+00,1.682427406311035156e+00,1.724143266677856445e+00,-6.123635768890380859e-01,9.462032318115234375e-01,-1.763642072677612305e+00,-6.563141942024230957e-02,1.849994421005249023e+00
2.309750556945800781e+00,1.814049363136291504e+00,1.780763387680053711e+00,1.414640545845031738e+00,-5.289871692657470703e-01,9.299038648605346680e-01,-1.759316802024841309e+00,-9.045080840587615967e-02,1.849994421005249023e+00
2.243928670883178711e+00,4.816617369651794434e-01,1.858447313308715820e+00,1.070599079132080078e+00,-3.854813575744628906e-01,7.366218566894531250e-01,-1.757479190826416016e+00,-1.139249131083488464e-01,1.849994421005249023e+00
2.154171466827392578e+00,-4.095292687416076660e-01,1.914559841156005859e+00,7.299108505249023438e-01,-2.396116256713867188e-01,4.879292249679565430e-01,-1.757202386856079102e+00,-1.297587901353836060e-01,1.849994421005249023e+00
2.067406177520751953e+00,-8.643382787704467773e-01,1.950222969055175781e+00,4.200179576873779297e-01,-1.171832084655761719e-01,2.698809504508972168e-01,-1.757450938224792480e+00,-1.371446847915649414e-01,1.849994421005249023e+00
2.001584291458129883e+00,-9.520791769027709961e-01,1.967958569526672363e+00,1.584348678588867188e-01,1.950377497023479808e+19,1.659249949551315594e+26,1.643611360000000000e+08,-3.315183221025870786e-24,5.662009752289280000e+14
1.968673348426818848e+00,-4.141396880149841309e-01,1.963311433792114258e+00,-1.917350292205810547e-01,-5.361914634704589844e-03,1.510379314422607422e-01,-1.757653832435607910e+00,-1.391138732433319092e-01,1.849994421005249023e+00
1.968673348426818848e+00,-2.216889858245849609e-01,1.948167085647583008e+00,-2.822973728179931641e-01,-2.050626277923583984e-02,1.777564585208892822e-01,-1.757815837860107422e+00,-1.393870264291763306e-01,1.849994421005249023e+00
1.971665263175964355e+00,-9.642463922500610352e-02,1.928903460502624512e+00,-3.249940872192382812e-01,-4.276180267333984375e-02,2.004345953464508057e-01,-1.758147597312927246e+00,-1.394832581281661987e-01,1.849994421005249023e+00
